,eos,rho_c,M,M_0,R,Omega,Omega_p,T/W,J,I,Phi_2,h_plus,h_minus,Z_p,Z_b,Z_f,omega_c/Omega,r_e,r_ratio,Omega_pa,Omega+,u_phi,TW,omega_c_over_Omega,Omega_plus
799,/home/kenuni/Programs/rns/EOS/106/EOS10202.rns,564642000000000.0,1.57193,1.74742,13.2867,0.0,0.942799,,0.0,0.0,0.0,-28748.2,-28748.2,0.239479,0.239479,0.239479,,0.29548,1.0,1.80678,,73.2664,0.0,0.0,-0.0104015
800,/home/kenuni/Programs/rns/EOS/106/EOS10202.rns,563642000000000.0,1.56356,1.73699,13.2789,0.0,0.941109,,0.0,0.0,0.0,-28767.4,-28767.4,0.237904,0.237904,0.237904,,0.295643,1.0,1.81009,,73.0927,0.0,0.0,-0.0103642
801,/home/kenuni/Programs/rns/EOS/106/EOS10202.rns,562642000000000.0,1.55513,1.72652,13.2709,0.0,0.939416,,0.0,0.0,0.0,-28786.2,-28786.2,0.236331,0.236331,0.236331,,0.295803,1.0,1.81343,,72.917,0.0,0.0,-0.010327
802,/home/kenuni/Programs/rns/EOS/106/EOS10202.rns,561642000000000.0,1.5467,1.71607,13.263,0.0,0.93771,,0.0,0.0,0.0,-28805.1,-28805.1,0.23476,0.23476,0.23476,,0.295963,1.0,1.81677,,72.7407,0.0,0.0,-0.0102897
803,/home/kenuni/Programs/rns/EOS/106/EOS10202.rns,560642000000000.0,1.53827,1.70563,13.255,0.0,0.935995,,0.0,0.0,0.0,-28823.9,-28823.9,0.233192,0.233192,0.233192,,0.296122,1.0,1.82013,,72.5633,0.0,0.0,-0.0102524
804,/home/kenuni/Programs/rns/EOS/106/EOS10202.rns,559642000000000.0,1.52993,1.69532,13.2474,0.0,0.934253,,0.0,0.0,0.0,-28843.2,-28843.2,0.231631,0.231631,0.231631,,0.296287,1.0,1.82344,,72.387,0.0,0.0,-0.0102149
805,/home/kenuni/Programs/rns/EOS/106/EOS10202.rns,558642000000000.0,1.52148,1.68489,13.2394,0.0,0.932518,,0.0,0.0,0.0,-28861.9,-28861.9,0.230069,0.230069,0.230069,,0.296444,1.0,1.82681,,72.2076,0.0,0.0,-0.0101776
806,/home/kenuni/Programs/rns/EOS/106/EOS10202.rns,557642000000000.0,1.51286,1.67426,13.2306,0.0,0.930816,,0.0,0.0,0.0,-28879.1,-28879.1,0.228509,0.228509,0.228509,,0.296587,1.0,1.83028,,72.0237,0.0,0.0,-0.0101407
807,/home/kenuni/Programs/rns/EOS/106/EOS10202.rns,556642000000000.0,1.50437,1.6638,13.2224,0.0,0.929066,,0.0,0.0,0.0,-28897.4,-28897.4,0.226951,0.226951,0.226951,,0.296741,1.0,1.83369,,71.8416,0.0,0.0,-0.0101034
808,/home/kenuni/Programs/rns/EOS/106/EOS10202.rns,555642000000000.0,1.49587,1.65337,13.2142,0.0,0.927308,,0.0,0.0,0.0,-28915.6,-28915.6,0.225397,0.225397,0.225397,,0.296894,1.0,1.83711,,71.6587,0.0,0.0,-0.0100661
809,/home/kenuni/Programs/rns/EOS/106/EOS10202.rns,554642000000000.0,1.48735,1.64292,13.2058,0.0,0.925546,,0.0,0.0,0.0,0.0,0.0,0.223846,0.223846,0.223846,,0.297044,1.0,0.925546,,5.15361,0.0,0.0,0.925546
810,/home/kenuni/Programs/rns/EOS/106/EOS10202.rns,553642000000000.0,1.4791,1.63279,13.1984,0.0,0.923715,,0.0,0.0,0.0,0.0,0.0,0.222303,0.222303,0.222303,,0.297214,1.0,0.923715,,5.12475,0.0,0.0,0.923715
811,/home/kenuni/Programs/rns/EOS/106/EOS10202.rns,552642000000000.0,1.47031,1.62205,13.189,0.0,0.92199,,0.0,0.0,0.0,0.0,0.0,0.220754,0.220754,0.220754,,0.297342,1.0,0.92199,,5.09502,0.0,0.0,0.92199
